ESTADO;ACCIÓN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;IR A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;";";ident;const;int;double;bool;string;[  ];(;);void;,;class;{;};:;interface;if;else;while;for;return;break;Console;.;Writeline;=;==;&&;<;<=;+;*;%;-;!;this;New;intConstant;doubleConstant;boolConstant;dtringConstant;null;$;S';Program;Decl;VariableDecl;Variable;ConstDecl;ConstType;Type;Type';Type'';FunctiondDecl;Formals;Formals';ClassDecl;CladdDecl_P;CladdDecl_R;CladdDecl_O;CladdDecl_Q;Field;InterfaceDecl;InterfaceDecl';Prototype;StmtBlock;StmtBlock';StmtBlock'';StmtBloclk''';Stmt;Stmt';IfStmt;IfStmt';WhileStmt;ForStmt;ReturnStmt;BreakStmt;PrintStmt;PrintStmt';Expr;ExprOr;ExprOr';ExprAnd;ExprAnd';ExprEquals;ExprEquals';ExprComp;ExprComp'
85;d124;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
86;;;;;;;;;;;;;;;d125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
87;r61;d103;;;;;;;d114;;;;;d68;r51;;;d96;;d97;d99;d101;d100;d102;;;;;;;;;;;d110;d111;d115;d116;d117;d118;d119;d120;d121;;;;;;;;;;;;;;;;;;;;;;;;95;;;126;87;90;88;;89;91;93;92;94;;98;104;105;106;107;108;109;112;113
88;r52;r52;;;;;;;r52;;;;;r52;r52;;;r52;r52;r52;r52;r52;r52;r52;;;;;;;;;;;r52;r52;r52;r52;r52;r52;r52;r52;r52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
89;r53;r53;;;;;;;r53;;;;;r53;r53;;;r53;r53;r53;r53;r53;r53;r53;;;;;;;;;;;r53;r53;r53;r53;r53;r53;r53;r53;r53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
90;d127;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
91;r55;r55;;;;;;;r55;;;;;r55;r55;;;r55;r55;r55;r55;r55;r55;r55;;;;;;;;;;;r55;r55;r55;r55;r55;r55;r55;r55;r55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
92;r56;r56;;;;;;;r56;;;;;r56;r56;;;r56;r56;r56;r56;r56;r56;r56;;;;;;;;;;;r56;r56;r56;r56;r56;r56;r56;r56;r56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
93;r57;r57;;;;;;;r57;;;;;r57;r57;;;r57;r57;r57;r57;r57;r57;r57;;;;;;;;;;;r57;r57;r57;r57;r57;r57;r57;r57;r57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
94;r58;r58;;;;;;;r58;;;;;r58;r58;;;r58;r58;r58;r58;r58;r58;r58;;;;;;;;;;;r58;r58;r58;r58;r58;r58;r58;r58;r58;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
95;r59;r59;;;;;;;r59;;;;;r59;r59;;;r59;r59;r59;r59;r59;r59;r59;;;;;;;;;;;r59;r59;r59;r59;r59;r59;r59;r59;r59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
96;;;;;;;;;d128;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
97;;;;;;;;;d129;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
98;r60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
99;;;;;;;;;d130;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100;d131;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
101;;d103;;;;;;;d114;;;;;;;;;;;;;;;;;;;;;;;;;;d110;d111;d115;d116;d117;d118;d119;d120;d121;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;132;104;105;106;107;108;109;112;113
102;;;;;;;;;;;;;;;;;;;;;;;;;d133;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
103;r94;r94;;;;;;;r94;r94;;r94;;r94;r94;;;r94;r94;r94;r94;r94;r94;r94;r94;;d134;r94;r94;r94;r94;r94;r94;r94;r94;r94;r94;r94;r94;r94;r94;r94;r94;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
